artist,date,rank,title,weeks
Trey Songz,2017-06-24,99,Nobody Else But You,99
Rag 'N' Bone Man,2017-06-24,100,Human,74
Luis Fonsi,2017-06-17,1,Despacito,1
Bruno Mars,2017-06-17,2,That's What I Like,1
DJ Khaled,2017-06-17,3,I'm The One,1
Kendrick Lamar,2017-06-17,4,Humble.,1
Ed Sheeran,2017-06-17,5,Shape Of You,1
Future,2017-06-17,6,Mask Off,5
Zedd,2017-06-17,7,Stay,7
The Chainsmokers,2017-06-17,8,Something Just Like This,3
Lil Uzi Vert,2017-06-17,9,XO Tour Llif3,8
Post Malone,2017-06-17,10,Congratulations,10
Julia Michaels,2017-06-17,11,Issues,11
James Arthur,2017-06-17,12,Say You Won't Let Go,11
Kygo,2017-06-17,13,It Ain't Me,10
Sam Hunt,2017-06-17,14,Body Like A Back Road,6
Imagine Dragons,2017-06-17,15,Believer,15
Kyle,2017-06-17,16,iSpy,4
Childish Gambino,2017-06-17,17,Redbone,17
French Montana,2017-06-17,18,Unforgettable,18
Brett Young,2017-06-17,19,In Case You Didn't Know,19
Ayo,2017-06-17,20,Rolex,20
Miley Cyrus,2017-06-17,21,Malibu,10
Shawn Mendes,2017-06-17,22,There's Nothing Holdin' Me Back,22
Khalid,2017-06-17,23,Location,16
Harry Styles,2017-06-17,24,Sign Of The Times,4
Kendrick Lamar,2017-06-17,25,DNA.,4
Halsey,2017-06-17,26,Now Or Never,26
Drake,2017-06-17,27,Passionfruit,8
Ed Sheeran,2017-06-17,28,Castle On The Hill,6
Migos,2017-06-17,29,Bad And Boujee,1
Calvin Harris,2017-06-17,30,Slide,25
Jason DeRulo,2017-06-17,31,Swalla,31
The Chainsmokers,2017-06-17,32,Closer,1
Niall Horan,2017-06-17,33,Slow Hands,33
Kodak Black,2017-06-17,34,Tunnel Vision,6
Travis Scott,2017-06-17,35,Goosebumps,32
Migos,2017-06-17,36,T-shirt,19
Charlie Puth,2017-06-17,37,Attention,35
Bruno Mars,2017-06-17,38,24K Magic,4
Luke Combs,2017-06-17,39,Hurricane,31
Rae Sremmurd,2017-06-17,40,Swang,26
A Boogie Wit Da Hoodie,2017-06-17,41,Drowning,41
Alessia Cara,2017-06-17,42,Scars To Your Beautiful,8
Clean Bandit,2017-06-17,43,Rockabye,9
Migos,2017-06-17,44,Slippery,44
Selena Gomez,2017-06-17,45,Bad Liar,27
The Chainsmokers,2017-06-17,46,Paris,6
YFN Lucci,2017-06-17,47,Everyday We Lit,47
Maroon 5,2017-06-17,48,Cold,16
Playboi Carti,2017-06-17,49,Magnolia,49
Xxxtentacion,2017-06-17,50,Look At Me!,34
Lady GaGa,2017-06-17,51,The Cure,39
Florida Georgia Line,2017-06-17,52,"God, Your Mama, And Me",52
Darius Rucker,2017-06-17,53,If I Told You,53
Kendrick Lamar,2017-06-17,54,Love.,18
Keith Urban,2017-06-17,55,The Fighter,38
Dierks Bentley,2017-06-17,56,Black,56
Tee Grizzley,2017-06-17,57,First Day Out,57
Linkin Park,2017-06-17,58,Heavy,50
Thomas Rhett,2017-06-17,59,Craving You,53
Drake,2017-06-17,60,Portland,9
Camila Cabello,2017-06-17,61,Crying In The Club,47
Logic,2017-06-17,62,1-800-273-8255,47
Dan + Shay,2017-06-17,63,How Not To,63
Dylan Scott,2017-06-17,64,My Girl,64
Liam Payne,2017-06-17,65,Strip That Down,42
Chris Brown,2017-06-17,66,Privacy,66
Blake Shelton,2017-06-17,67,Every Time I Hear That Song,67
Lady Antebellum,2017-06-17,68,You Look Good,60
Russ,2017-06-17,69,Losin Control,62
Maluma,2017-06-17,70,Felices Los 4,70
Midland,2017-06-17,71,Drinkin' Problem,71
Kendrick Lamar,2017-06-17,72,Loyalty.,14
Cole Swindell,2017-06-17,73,Flatliner,73
Bryson Tiller,2017-06-17,74,Somethin Tells Me,74
Hailee Steinfeld,2017-06-17,75,Most Girls,75
Rascal Flatts,2017-06-17,76,Yours If You Want It,76
Cheat Codes,2017-06-17,77,No Promises,74
Katy Perry,2017-06-17,78,Swish Swish,46
Drake,2017-06-17,79,Gyalchester,29
Lil Yachty,2017-06-17,80,Peek A Boo,78
Imagine Dragons,2017-06-17,81,Thunder,70
Playboi Carti,2017-06-17,82,Woke Up Like This,76
Shakira,2017-06-17,83,Me Enamoré,83
Martin Garrix,2017-06-17,84,Scared To Be Lonely,76
Bryson Tiller,2017-06-17,85,Self-made,85
AJR,2017-06-17,86,Weak,86
2 Chainz X Gucci Mane X Quavo,2017-06-17,87,Good Drank,82
Gucci Mane,2017-06-17,88,Met Gala,88
Bryson Tiller,2017-06-17,89,Don't Get Too High,89
Old Dominion,2017-06-17,90,No Such Thing As A Broken Heart,90
Bryson Tiller,2017-06-17,91,Run Me Dry,91
Rag 'N' Bone Man,2017-06-17,92,Human,74
Josh Turner,2017-06-17,93,Hometown Girl,56
Martin Garrix,2017-06-17,94,There For You,94
Blackbear,2017-06-17,95,Do Re Mi,87
Katy Perry,2017-06-17,96,Bon Appetit,59
Kendrick Lamar,2017-06-17,97,Element.,16
Bryson Tiller,2017-06-17,98,No Longer Friends,98
Travis Scott,2017-06-17,99,Butterfly Effect,99
Halsey,2017-06-17,100,Strangers,100
Luis Fonsi,2017-06-10,1,Despacito,1
Bruno Mars,2017-06-10,2,That's What I Like,1
DJ Khaled,2017-06-10,3,I'm The One,1
Kendrick Lamar,2017-06-10,4,Humble.,1
Ed Sheeran,2017-06-10,5,Shape Of You,1
Future,2017-06-10,6,Mask Off,5
Zedd,2017-06-10,7,Stay,7
The Chainsmokers,2017-06-10,8,Something Just Like This,3
Lil Uzi Vert,2017-06-10,9,XO Tour Llif3,8
Kygo,2017-06-10,10,It Ain't Me,10
Julia Michaels,2017-06-10,11,Issues,11
James Arthur,2017-06-10,12,Say You Won't Let Go,11
Post Malone,2017-06-10,13,Congratulations,12
Sam Hunt,2017-06-10,14,Body Like A Back Road,6
Imagine Dragons,2017-06-10,15,Believer,15
Kyle,2017-06-10,16,iSpy,4
Harry Styles,2017-06-10,17,Sign Of The Times,4
Miley Cyrus,2017-06-10,18,Malibu,10
Brett Young,2017-06-10,19,In Case You Didn't Know,19
Kendrick Lamar,2017-06-10,20,DNA.,4
Khalid,2017-06-10,21,Location,16
Childish Gambino,2017-06-10,22,Redbone,22
French Montana,2017-06-10,23,Unforgettable,23
Drake,2017-06-10,24,Passionfruit,8
Shawn Mendes,2017-06-10,25,There's Nothing Holdin' Me Back,25
Halsey,2017-06-10,26,Now Or Never,26
Selena Gomez,2017-06-10,27,Bad Liar,27
Migos,2017-06-10,28,Bad And Boujee,1
Calvin Harris,2017-06-10,29,Slide,25
Ed Sheeran,2017-06-10,30,Castle On The Hill,6
Ayo,2017-06-10,31,Rolex,30
The Chainsmokers,2017-06-10,32,Closer,1
Jason DeRulo,2017-06-10,33,Swalla,33
Kodak Black,2017-06-10,34,Tunnel Vision,6
Charlie Puth,2017-06-10,35,Attention,35
Travis Scott,2017-06-10,36,Goosebumps,32
Migos,2017-06-10,37,T-shirt,19
Bruno Mars,2017-06-10,38,24K Magic,4
Rae Sremmurd,2017-06-10,39,Swang,26
Luke Combs,2017-06-10,40,Hurricane,31
Clean Bandit,2017-06-10,41,Rockabye,9
Liam Payne,2017-06-10,42,Strip That Down,42
Lauren Duski,2017-06-10,43,Deja Vu,43
Maroon 5,2017-06-10,44,Cold,16
Alessia Cara,2017-06-10,45,Scars To Your Beautiful,8
Katy Perry,2017-06-10,46,Swish Swish,46
Camila Cabello,2017-06-10,47,Crying In The Club,47
A Boogie Wit Da Hoodie,2017-06-10,48,Drowning,47
Xxxtentacion,2017-06-10,49,Look At Me!,34
Linkin Park,2017-06-10,50,Heavy,50
Migos,2017-06-10,51,Slippery,48
Niall Horan,2017-06-10,52,Slow Hands,52
The Chainsmokers,2017-06-10,53,Paris,6
Kendrick Lamar,2017-06-10,54,Love.,18
Darius Rucker,2017-06-10,55,If I Told You,55
Dierks Bentley,2017-06-10,56,Black,56
Lady GaGa,2017-06-10,57,The Cure,39
Playboi Carti,2017-06-10,58,Magnolia,55
YFN Lucci,2017-06-10,59,Everyday We Lit,59
Florida Georgia Line,2017-06-10,60,"God, Your Mama, And Me",60
Drake,2017-06-10,61,Portland,9
Keith Urban,2017-06-10,62,The Fighter,38
Logic,2017-06-10,63,1-800-273-8255,47
Tee Grizzley,2017-06-10,64,First Day Out,64
Thomas Rhett,2017-06-10,65,Craving You,53
Chris Blue,2017-06-10,66,Money On You,66
Katy Perry,2017-06-10,67,Bon Appetit,59
Dan + Shay,2017-06-10,68,How Not To,68
Russ,2017-06-10,69,Losin Control,62
Kendrick Lamar,2017-06-10,70,Loyalty.,14
Lady Antebellum,2017-06-10,71,You Look Good,60
Chris Brown,2017-06-10,72,Privacy,72
Dylan Scott,2017-06-10,73,My Girl,73
Cheat Codes,2017-06-10,74,No Promises,74
Blake Shelton,2017-06-10,75,Every Time I Hear That Song,75
Rascal Flatts,2017-06-10,76,Yours If You Want It,76
Hailee Steinfeld,2017-06-10,77,Most Girls,77
Midland,2017-06-10,78,Drinkin' Problem,78
Playboi Carti,2017-06-10,79,Woke Up Like This,76
Martin Garrix,2017-06-10,80,Scared To Be Lonely,76
Cole Swindell,2017-06-10,81,Flatliner,81
Imagine Dragons,2017-06-10,82,Thunder,70
Kendrick Lamar,2017-06-10,83,Element.,16
Drake,2017-06-10,84,Gyalchester,29
Josh Turner,2017-06-10,85,Hometown Girl,56
Katy Perry,2017-06-10,86,Chained To The Rhythm,4
Machine Gun Kelly,2017-06-10,87,At My Best,60
2 Chainz X Gucci Mane X Quavo,2017-06-10,88,Good Drank,82
Rag 'N' Bone Man,2017-06-10,89,Human,74
Maluma,2017-06-10,90,Felices Los 4,90
Calvin Harris,2017-06-10,91,Rollin,62
Lauren Duski,2017-06-10,92,The Dance,92
Blackbear,2017-06-10,93,Do Re Mi,87
Lee Brice,2017-06-10,94,Boy,94
Nicky Jam,2017-06-10,95,El Amante,93
AJR,2017-06-10,96,Weak,94
Chris Stapleton,2017-06-10,97,Either Way,89
Zac Brown Band,2017-06-10,98,My Old Man,68
Enrique Iglesias,2017-06-10,99,Súbeme La Radio,81
Jason Aldean,2017-06-10,100,Any Ol' Barstool,52
Luis Fonsi,2017-06-03,1,Despacito,1
Bruno Mars,2017-06-03,2,That's What I Like,1
DJ Khaled,2017-06-03,3,I'm The One,1
Ed Sheeran,2017-06-03,4,Shape Of You,1
Kendrick Lamar,2017-06-03,5,Humble.,1
The Chainsmokers,2017-06-03,6,Something Just Like This,3
Future,2017-06-03,7,Mask Off,5
Lil Uzi Vert,2017-06-03,8,XO Tour Llif3,8
Zedd,2017-06-03,9,Stay,7
Miley Cyrus,2017-06-03,10,Malibu,10
James Arthur,2017-06-03,11,Say You Won't Let Go,11
Kygo,2017-06-03,12,It Ain't Me,10
Post Malone,2017-06-03,13,Congratulations,12
Julia Michaels,2017-06-03,14,Issues,12
Kyle,2017-06-03,15,iSpy,4
Sam Hunt,2017-06-03,16,Body Like A Back Road,6
Harry Styles,2017-06-03,17,Sign Of The Times,4
Kendrick Lamar,2017-06-03,18,DNA.,4
Khalid,2017-06-03,19,Location,16
Imagine Dragons,2017-06-03,20,Believer,20
Drake,2017-06-03,21,Passionfruit,8
Migos,2017-06-03,22,Bad And Boujee,1
Brett Young,2017-06-03,23,In Case You Didn't Know,23
French Montana,2017-06-03,24,Unforgettable,24
Calvin Harris,2017-06-03,25,Slide,25
Kodak Black,2017-06-03,26,Tunnel Vision,6
The Chainsmokers,2017-06-03,27,Closer,1
Clean Bandit,2017-06-03,28,Rockabye,9
Childish Gambino,2017-06-03,29,Redbone,29
Ayo,2017-06-03,30,Rolex,30
Migos,2017-06-03,31,T-shirt,19
Shawn Mendes,2017-06-03,32,There's Nothing Holdin' Me Back,32
Maroon 5,2017-06-03,33,Cold,16
Luke Combs,2017-06-03,34,Hurricane,31
Rae Sremmurd,2017-06-03,35,Swang,26
Jason DeRulo,2017-06-03,36,Swalla,36
Travis Scott,2017-06-03,37,Goosebumps,32
Halsey,2017-06-03,38,Now Or Never,32
Ed Sheeran,2017-06-03,39,Castle On The Hill,6
Bruno Mars,2017-06-03,40,24K Magic,4
Alessia Cara,2017-06-03,41,Scars To Your Beautiful,8
The Chainsmokers,2017-06-03,42,Paris,6
Rihanna,2017-06-03,43,Love On The Brain,5
Gucci Mane,2017-06-03,44,Both,41
Charlie Puth,2017-06-03,45,Attention,45
The Weeknd,2017-06-03,46,I Feel It Coming,4
A Boogie Wit Da Hoodie,2017-06-03,47,Drowning,47
Zayn,2017-06-03,48,I Don't Wanna Live Forever (Fifty Shades Darker),2
Xxxtentacion,2017-06-03,49,Look At Me!,34
